soilBearingCapacity,loadsActing,ironQuality,sandType,noOfRows,noOfCols,noOfStairs,earthquakeLoad,windLoad,concreteMix,years,price
shallow,dead ,High,pit,3,4,10,notProne,500,4,35,65400000
shallow,dead ,High,utility,3,4,10,notProne,500,5,32,65400000
shallow,dead ,High,fill,3,4,10,notProne,500,6,29,65400000
shallow,dead ,High,concrete,3,4,14,prone,100,1,22,18600000
shallow,dead ,High,pit,3,4,14,prone,100,2,27,18600000
shallow,dead ,High,utility,3,4,14,prone,100,3,31,18600000
shallow,dead ,High,fill,3,4,14,prone,100,4,32,18600000
shallow,dead ,High,concrete,3,4,14,prone,100,5,22,18600000
shallow,dead ,High,pit,3,4,14,prone,100,6,18,18600000
shallow,dead ,High,utility,3,4,14,prone,200,1,14,36800000
shallow,dead ,High,fill,3,4,14,prone,200,2,16,36800000
shallow,dead ,High,concrete,3,4,14,prone,200,3,17,36800000
shallow,dead ,High,pit,3,4,14,prone,200,4,18,36800000
shallow,dead ,High,utility,3,4,14,prone,200,5,14,36800000
shallow,dead ,High,fill,3,4,14,prone,200,6,12,36800000
shallow,dead ,High,concrete,3,4,14,prone,300,1,17,55000000
shallow,dead ,High,pit,3,4,14,prone,300,2,7,55000000
shallow,dead ,High,utility,3,4,14,prone,300,3,9,55000000
shallow,dead ,High,fill,3,4,14,prone,300,4,19,55000000
shallow,dead ,High,concrete,3,4,14,prone,300,5,10,55000000
shallow,dead ,High,pit,3,4,14,prone,300,6,8,55000000
shallow,dead ,High,utility,3,4,14,prone,500,1,17,91400000
shallow,dead ,High,fill,3,4,14,prone,500,2,16,91400000
shallow,dead ,High,concrete,3,4,14,prone,500,3,13,91400000
shallow,dead ,High,pit,3,4,14,prone,500,4,15,91400000
shallow,dead ,High,utility,3,4,14,prone,500,5,18,91400000
shallow,dead ,High,fill,3,4,14,prone,500,6,16,91400000
shallow,dead ,High,concrete,3,4,14,notProne,100,1,48,18600000
shallow,dead ,High,pit,3,4,14,notProne,100,2,45,18600000
shallow,dead ,High,utility,3,4,14,notProne,100,3,41,18600000
shallow,dead ,High,fill,3,4,14,notProne,100,4,43,18600000
shallow,dead ,High,concrete,3,4,14,notProne,100,5,35,18600000
shallow,dead ,High,pit,3,4,14,notProne,100,6,33,18600000
shallow,dead ,High,utility,3,4,14,notProne,200,1,36,36800000
shallow,dead ,High,fill,3,4,14,notProne,200,2,37,36800000
shallow,dead ,High,concrete,3,4,14,notProne,200,3,33,36800000
shallow,dead ,High,pit,3,4,14,notProne,200,4,38,36800000
shallow,dead ,High,utility,3,4,14,notProne,200,5,35,36800000
shallow,dead ,High,fill,3,4,14,notProne,200,6,31,36800000
shallow,dead ,High,concrete,3,4,14,notProne,300,1,43,55000000
shallow,dead ,High,pit,3,4,14,notProne,300,2,40,55000000
shallow,dead ,High,utility,3,4,14,notProne,300,3,39,55000000
shallow,dead ,High,fill,3,4,14,notProne,300,4,38,55000000
shallow,dead ,High,concrete,3,4,14,notProne,300,5,40,55000000
shallow,dead ,High,pit,3,4,14,notProne,300,6,28,55000000
shallow,dead ,High,utility,3,4,14,notProne,500,1,31,91400000
shallow,dead ,High,fill,3,4,14,notProne,500,2,32,91400000
shallow,dead ,High,concrete,3,4,14,notProne,500,3,28,91400000
shallow,dead ,High,pit,3,4,14,notProne,500,4,33,91400000
shallow,dead ,High,utility,3,4,14,notProne,500,5,30,91400000
shallow,dead ,High,fill,3,4,14,notProne,500,6,27,91400000
shallow,dead ,High,concrete,3,4,18,prone,100,1,19,23800000
shallow,dead ,High,pit,3,4,18,prone,100,2,9,23800000
shallow,dead ,High,utility,3,4,18,prone,100,3,13,23800000
shallow,dead ,High,fill,3,4,18,prone,100,4,14,23800000
shallow,dead ,High,concrete,3,4,18,prone,100,5,19,23800000
shallow,dead ,High,pit,3,4,18,prone,100,6,15,23800000
shallow,dead ,High,utility,3,4,18,prone,200,1,17,47200000
shallow,dead ,High,fill,3,4,18,prone,200,2,13,47200000
shallow,dead ,High,concrete,3,4,18,prone,200,3,14,47200000
shallow,dead ,High,pit,3,4,18,prone,200,4,15,47200000
shallow,dead ,High,utility,3,4,18,prone,200,5,11,47200000
shallow,dead ,High,fill,3,4,18,prone,200,6,9,47200000
shallow,dead ,High,concrete,3,4,18,prone,300,1,14,70600000
shallow,dead ,High,pit,3,4,18,prone,300,2,19,70600000
shallow,dead ,High,utility,3,4,18,prone,300,3,6,70600000
shallow,dead ,High,fill,3,4,18,prone,300,4,16,70600000
shallow,dead ,High,concrete,3,4,18,prone,300,5,7,70600000
shallow,dead ,High,pit,3,4,18,prone,300,6,20,70600000
shallow,dead ,High,utility,3,4,18,prone,500,1,14,116400000
shallow,dead ,High,fill,3,4,18,prone,500,2,13,116400000
shallow,dead ,High,concrete,3,4,18,prone,500,3,10,116400000
shallow,dead ,High,pit,3,4,18,prone,500,4,12,116400000
shallow,dead ,High,utility,3,4,18,prone,500,5,15,116400000
shallow,dead ,High,fill,3,4,18,prone,500,6,13,116400000
shallow,dead ,High,concrete,3,4,18,notProne,100,1,45,23800000
shallow,dead ,High,pit,3,4,18,notProne,100,2,42,23800000
shallow,dead ,High,utility,3,4,18,notProne,100,3,38,23800000
shallow,dead ,High,fill,3,4,18,notProne,100,4,40,23800000
shallow,dead ,High,concrete,3,4,18,notProne,100,5,32,23800000
shallow,dead ,High,pit,3,4,18,notProne,100,6,30,23800000
shallow,dead ,High,utility,3,4,18,notProne,200,1,33,47200000
shallow,dead ,High,fill,3,4,18,notProne,200,2,34,47200000
shallow,dead ,High,concrete,3,4,18,notProne,200,3,30,47200000
shallow,dead ,High,pit,3,4,18,notProne,200,4,35,47200000
shallow,dead ,High,utility,3,4,18,notProne,200,5,32,47200000
shallow,dead ,High,fill,3,4,18,notProne,200,6,28,47200000
shallow,dead ,High,concrete,3,4,18,notProne,300,1,40,70600000
shallow,dead ,High,pit,3,4,18,notProne,300,2,37,70600000
shallow,dead ,High,utility,3,4,18,notProne,300,3,36,70600000
shallow,dead ,High,fill,3,4,18,notProne,300,4,35,70600000
shallow,dead ,High,concrete,3,4,18,notProne,300,5,37,70600000
shallow,dead ,High,pit,3,4,18,notProne,300,6,25,70600000
shallow,dead ,High,utility,3,4,18,notProne,500,1,28,116400000
shallow,dead ,High,fill,3,4,18,notProne,500,2,29,116400000
shallow,dead ,High,concrete,3,4,18,notProne,500,3,25,116400000
shallow,dead ,High,pit,3,4,18,notProne,500,4,30,116400000
shallow,dead ,High,utility,3,4,18,notProne,500,5,27,116400000
shallow,dead ,High,fill,3,4,18,notProne,500,6,24,116400000
shallow,dead ,High,concrete,6,2,2,prone,100,1,10,3000000
shallow,dead ,High,pit,6,2,2,prone,100,2,15,3000000
shallow,dead ,High,utility,6,2,2,prone,100,3,18,3000000
shallow,dead ,High,fill,6,2,2,prone,100,4,20,3000000
shallow,dead ,High,concrete,6,2,2,prone,100,5,9,3000000
shallow,dead ,High,pit,6,2,2,prone,100,6,20,3000000
shallow,dead ,High,utility,6,2,2,prone,200,1,16,5600000
shallow,dead ,High,fill,6,2,2,prone,200,2,18,5600000
shallow,dead ,High,concrete,6,2,2,prone,200,3,19,5600000
shallow,dead ,High,pit,6,2,2,prone,200,4,10,5600000
shallow,dead ,High,utility,6,2,2,prone,200,5,17,5600000
shallow,dead ,High,fill,6,2,2,prone,200,6,15,5600000
shallow,dead ,High,concrete,6,2,2,prone,300,1,20,8200000
shallow,dead ,High,pit,6,2,2,prone,300,2,10,8200000
shallow,dead ,High,utility,6,2,2,prone,300,3,12,8200000
shallow,dead ,High,fill,6,2,2,prone,300,4,6,8200000
shallow,dead ,High,concrete,6,2,2,prone,300,5,13,8200000
shallow,dead ,High,pit,6,2,2,prone,300,6,11,8200000
shallow,dead ,High,utility,6,2,2,prone,500,1,17,13400000
shallow,dead ,High,fill,6,2,2,prone,500,2,19,13400000
shallow,dead ,High,concrete,6,2,2,prone,500,3,6,13400000
shallow,dead ,High,pit,6,2,2,prone,500,4,10,13400000
shallow,dead ,High,utility,6,2,2,prone,500,5,17,13400000
shallow,dead ,High,fill,6,2,2,prone,500,6,16,13400000
shallow,dead ,High,concrete,6,2,2,notProne,100,1,65,3000000
shallow,dead ,High,pit,6,2,2,notProne,100,2,62,3000000
shallow,dead ,High,utility,6,2,2,notProne,100,3,58,3000000
shallow,dead ,High,fill,6,2,2,notProne,100,4,60,3000000
shallow,dead ,High,concrete,6,2,2,notProne,100,5,52,3000000
shallow,dead ,High,pit,6,2,2,notProne,100,6,50,3000000
shallow,dead ,High,utility,6,2,2,notProne,200,1,53,5600000
shallow,dead ,High,fill,6,2,2,notProne,200,2,54,5600000
shallow,dead ,High,concrete,6,2,2,notProne,200,3,50,5600000
shallow,dead ,High,pit,6,2,2,notProne,200,4,55,5600000
shallow,dead ,High,utility,6,2,2,notProne,200,5,52,5600000
shallow,dead ,High,fill,6,2,2,notProne,200,6,48,5600000
shallow,dead ,High,concrete,6,2,2,notProne,300,1,60,8200000
shallow,dead ,High,pit,6,2,2,notProne,300,2,57,8200000
shallow,dead ,High,utility,6,2,2,notProne,300,3,53,8200000
shallow,dead ,High,fill,6,2,2,notProne,300,4,55,8200000
shallow,dead ,High,concrete,6,2,2,notProne,300,5,47,8200000
shallow,dead ,High,pit,6,2,2,notProne,300,6,45,8200000
shallow,dead ,High,utility,6,2,2,notProne,500,1,48,13400000
shallow,dead ,High,fill,6,2,2,notProne,500,2,49,13400000
shallow,dead ,High,concrete,6,2,2,notProne,500,3,45,13400000
shallow,dead ,High,pit,6,2,2,notProne,500,4,50,13400000
shallow,dead ,High,utility,6,2,2,notProne,500,5,47,13400000
shallow,dead ,High,fill,6,2,2,notProne,500,6,43,13400000
shallow,dead ,High,concrete,6,2,6,prone,200,1,14,16000000
shallow,dead ,High,pit,6,2,6,prone,200,2,19,16000000
shallow,dead ,High,utility,6,2,6,prone,200,3,22,16000000
shallow,dead ,High,fill,6,2,6,prone,200,4,24,16000000
shallow,dead ,High,concrete,6,2,6,prone,200,5,13,16000000
shallow,dead ,High,pit,6,2,6,prone,200,6,9,16000000
shallow,dead ,High,utility,6,2,6,prone,300,1,20,23800000
shallow,dead ,High,fill,6,2,6,prone,300,2,7,23800000
shallow,dead ,High,concrete,6,2,6,prone,300,3,8,23800000
shallow,dead ,High,pit,6,2,6,prone,300,4,14,23800000
shallow,dead ,High,utility,6,2,6,prone,300,5,6,23800000
shallow,dead ,High,fill,6,2,6,prone,300,6,19,23800000
shallow,dead ,High,concrete,6,2,6,prone,500,1,9,39400000
shallow,dead ,High,pit,6,2,6,prone,500,2,14,39400000
shallow,dead ,High,utility,6,2,6,prone,500,3,16,39400000
shallow,dead ,High,fill,6,2,6,prone,500,4,10,39400000
shallow,dead ,High,concrete,6,2,6,prone,500,5,17,39400000
shallow,dead ,High,pit,6,2,6,prone,500,6,15,39400000
shallow,dead ,High,utility,6,2,6,notProne,100,1,55,8200000
shallow,dead ,High,fill,6,2,6,notProne,100,2,52,8200000
shallow,dead ,High,concrete,6,2,6,notProne,100,3,48,8200000
shallow,dead ,High,pit,6,2,6,notProne,100,4,50,8200000
shallow,dead ,High,utility,6,2,6,notProne,100,5,42,8200000
shallow,dead ,High,fill,6,2,6,notProne,100,6,40,8200000
shallow,dead ,High,concrete,6,2,6,notProne,200,1,43,16000000
shallow,dead ,High,pit,6,2,6,notProne,200,2,44,16000000
shallow,dead ,High,utility,6,2,6,notProne,200,3,40,16000000
shallow,dead ,High,fill,6,2,6,notProne,200,4,45,16000000
shallow,dead ,High,concrete,6,2,6,notProne,200,5,42,16000000
shallow,dead ,High,pit,6,2,6,notProne,200,6,38,16000000
shallow,dead ,High,utility,6,2,6,notProne,300,1,50,23800000
shallow,dead ,High,fill,6,2,6,notProne,300,2,47,23800000
shallow,dead ,High,concrete,6,2,6,notProne,300,3,43,23800000
shallow,dead ,High,pit,6,2,6,notProne,300,4,45,23800000
shallow,dead ,High,utility,6,2,6,notProne,300,5,37,23800000
shallow,dead ,High,fill,6,2,6,notProne,300,6,35,23800000
shallow,dead ,High,concrete,6,2,6,notProne,500,1,38,39400000
shallow,dead ,High,pit,6,2,6,notProne,500,2,39,39400000
shallow,dead ,High,utility,6,2,6,notProne,500,3,35,39400000
shallow,dead ,High,fill,6,2,6,notProne,500,4,40,39400000
shallow,dead ,High,concrete,6,2,6,notProne,500,5,37,39400000
shallow,dead ,High,pit,6,2,6,notProne,500,6,33,39400000
shallow,dead ,High,utility,6,2,10,prone,100,1,9,13400000
shallow,dead ,High,fill,6,2,10,prone,100,2,14,13400000
shallow,dead ,High,concrete,6,2,10,prone,100,3,18,13400000
shallow,dead ,High,pit,6,2,10,prone,100,4,19,13400000
shallow,dead ,High,utility,6,2,10,prone,100,5,9,13400000
shallow,dead ,High,fill,6,2,10,prone,100,6,20,13400000
shallow,dead ,High,concrete,6,2,10,prone,200,1,16,26400000
shallow,dead ,High,pit,6,2,10,prone,200,2,18,26400000
shallow,dead ,High,utility,6,2,10,prone,200,3,19,26400000
shallow,dead ,High,fill,6,2,10,prone,200,4,20,26400000
shallow,dead ,High,concrete,6,2,10,prone,200,5,16,26400000
shallow,dead ,High,pit,6,2,10,prone,200,6,14,26400000
shallow,dead ,High,utility,6,2,10,prone,300,1,19,39400000
shallow,dead ,High,fill,6,2,10,prone,300,2,9,39400000
shallow,dead ,High,concrete,6,2,10,prone,300,3,11,39400000
shallow,dead ,High,pit,6,2,10,prone,300,4,6,39400000
shallow,dead ,High,utility,6,2,10,prone,300,5,12,39400000
shallow,dead ,High,fill,6,2,10,prone,300,6,10,39400000
shallow,dead ,High,concrete,6,2,10,prone,500,1,19,65400000
shallow,dead ,High,pit,6,2,10,prone,500,2,18,65400000
shallow,dead ,High,utility,6,2,10,prone,500,3,15,65400000
shallow,dead ,High,fill,6,2,10,prone,500,4,17,65400000
shallow,dead ,High,concrete,6,2,10,prone,500,5,20,65400000
shallow,dead ,High,pit,6,2,10,prone,500,6,18,65400000
shallow,dead ,High,utility,6,2,10,notProne,100,1,50,13400000
shallow,dead ,High,fill,6,2,10,notProne,100,2,47,13400000
shallow,dead ,High,concrete,6,2,10,notProne,100,3,43,13400000
shallow,dead ,High,pit,6,2,10,notProne,100,4,45,13400000
shallow,dead ,High,utility,6,2,10,notProne,100,5,37,13400000
shallow,dead ,High,fill,6,2,10,notProne,100,6,35,13400000
shallow,dead ,High,concrete,6,2,10,notProne,200,1,38,26400000
shallow,dead ,High,pit,6,2,10,notProne,200,2,39,26400000
shallow,dead ,High,utility,6,2,10,notProne,200,3,35,26400000
shallow,dead ,High,fill,6,2,10,notProne,200,4,40,26400000
shallow,dead ,High,concrete,6,2,10,notProne,200,5,37,26400000
shallow,dead ,High,pit,6,2,10,notProne,200,6,33,26400000
shallow,dead ,High,utility,6,2,10,notProne,300,1,45,39400000
shallow,dead ,High,fill,6,2,10,notProne,300,2,42,39400000
shallow,dead ,High,concrete,6,2,10,notProne,300,3,37,39400000
shallow,dead ,High,pit,6,2,10,notProne,300,4,40,39400000
shallow,dead ,High,utility,6,2,10,notProne,300,5,42,39400000
shallow,dead ,High,fill,6,2,10,notProne,300,6,30,39400000
shallow,dead ,High,concrete,6,2,10,notProne,500,1,33,65400000
shallow,dead ,High,pit,6,2,10,notProne,500,2,34,65400000
shallow,dead ,High,utility,6,2,10,notProne,500,3,30,65400000
shallow,dead ,High,fill,6,2,10,notProne,500,4,35,65400000
shallow,dead ,High,concrete,6,2,10,notProne,500,5,32,65400000
shallow,dead ,High,pit,6,2,10,notProne,500,6,29,65400000
shallow,dead ,High,utility,6,2,14,prone,100,1,7,18600000
shallow,dead ,High,fill,6,2,14,prone,100,2,12,18600000
shallow,dead ,High,concrete,6,2,14,prone,100,3,16,18600000
shallow,dead ,High,pit,6,2,14,prone,100,4,17,18600000
shallow,dead ,High,utility,6,2,14,prone,100,5,7,18600000
shallow,dead ,High,fill,6,2,14,prone,100,6,18,18600000
shallow,dead ,High,concrete,6,2,14,prone,200,1,14,36800000
shallow,dead ,High,pit,6,2,14,prone,200,2,16,36800000
shallow,dead ,High,utility,6,2,14,prone,200,3,17,36800000
shallow,dead ,High,fill,6,2,14,prone,200,4,18,36800000
shallow,dead ,High,concrete,6,2,14,prone,200,5,14,36800000
shallow,dead ,High,pit,6,2,14,prone,200,6,12,36800000
shallow,dead ,High,utility,6,2,14,prone,300,1,17,55000000
shallow,dead ,High,fill,6,2,14,prone,300,2,7,55000000
shallow,dead ,High,concrete,6,2,14,prone,300,3,9,55000000
shallow,dead ,High,pit,6,2,14,prone,300,4,19,55000000
shallow,dead ,High,utility,6,2,14,prone,300,5,10,55000000
shallow,dead ,High,fill,6,2,14,prone,300,6,8,55000000
shallow,dead ,High,concrete,6,2,14,prone,500,1,17,91400000
shallow,dead ,High,pit,6,2,14,prone,500,2,16,91400000
shallow,dead ,High,utility,6,2,14,prone,500,3,13,91400000
shallow,dead ,High,fill,6,2,14,prone,500,4,15,91400000
shallow,dead ,High,concrete,6,2,14,prone,500,5,18,91400000
shallow,dead ,High,pit,6,2,14,prone,500,6,16,91400000
shallow,dead ,High,utility,6,2,14,notProne,100,1,48,18600000
shallow,dead ,High,fill,6,2,14,notProne,100,2,45,18600000
shallow,dead ,High,concrete,6,2,14,notProne,100,3,41,18600000
shallow,dead ,High,pit,6,2,14,notProne,100,4,42,18600000
shallow,dead ,High,utility,6,2,14,notProne,100,5,35,18600000
shallow,dead ,High,fill,6,2,14,notProne,100,6,33,18600000
shallow,dead ,High,concrete,6,2,14,notProne,200,1,36,36800000
shallow,dead ,High,pit,6,2,14,notProne,200,2,37,36800000
shallow,dead ,High,utility,6,2,14,notProne,200,3,33,36800000
shallow,dead ,High,fill,6,2,14,notProne,200,4,38,36800000
shallow,dead ,High,concrete,6,2,14,notProne,200,5,35,36800000
shallow,dead ,High,pit,6,2,14,notProne,200,6,31,36800000
shallow,dead ,High,utility,6,2,14,notProne,300,1,43,55000000
shallow,dead ,High,fill,6,2,14,notProne,300,2,40,55000000
shallow,dead ,High,concrete,6,2,14,notProne,300,3,39,55000000
shallow,dead ,High,pit,6,2,14,notProne,300,4,38,55000000
shallow,dead ,High,utility,6,2,14,notProne,300,5,40,55000000
shallow,dead ,High,fill,6,2,14,notProne,300,6,28,55000000
shallow,dead ,High,concrete,6,2,14,notProne,500,1,31,91400000
shallow,dead ,High,pit,6,2,14,notProne,500,2,32,91400000
shallow,dead ,High,utility,6,2,14,notProne,500,3,28,91400000
shallow,dead ,High,fill,6,2,14,notProne,500,4,33,91400000
shallow,dead ,High,concrete,6,2,14,notProne,500,5,30,91400000
shallow,dead ,High,pit,6,2,14,notProne,500,6,27,91400000
shallow,dead ,High,utility,6,2,18,prone,100,1,19,23800000
shallow,dead ,High,fill,6,2,18,prone,100,2,9,23800000
shallow,dead ,High,concrete,6,2,18,prone,100,3,13,23800000
shallow,dead ,High,pit,6,2,18,prone,100,4,14,23800000
shallow,dead ,High,utility,6,2,18,prone,100,5,19,23800000
shallow,dead ,High,fill,6,2,18,prone,100,6,15,23800000
shallow,dead ,High,concrete,6,2,18,prone,200,1,17,47200000
shallow,dead ,High,pit,6,2,18,prone,200,2,13,47200000
shallow,dead ,High,utility,6,2,18,prone,200,3,14,47200000
shallow,dead ,High,fill,6,2,18,prone,200,4,15,47200000
shallow,dead ,High,concrete,6,2,18,prone,200,5,11,47200000
shallow,dead ,High,pit,6,2,18,prone,200,6,9,47200000
shallow,dead ,High,utility,6,2,18,prone,300,1,14,70600000
shallow,dead ,High,fill,6,2,18,prone,300,2,19,70600000
shallow,dead ,High,concrete,6,2,18,prone,300,3,6,70600000
shallow,dead ,High,pit,6,2,18,prone,300,4,16,70600000
shallow,dead ,High,utility,6,2,18,prone,300,5,7,70600000
shallow,dead ,High,fill,6,2,18,prone,300,6,20,70600000
shallow,dead ,High,concrete,6,2,18,prone,500,1,14,116400000
shallow,dead ,High,pit,6,2,18,prone,500,2,13,116400000
shallow,dead ,High,utility,6,2,18,prone,500,3,10,116400000
shallow,dead ,High,fill,6,2,18,prone,500,4,12,116400000
shallow,dead ,High,concrete,6,2,18,prone,500,5,15,116400000
shallow,dead ,High,pit,6,2,18,prone,500,6,13,116400000
shallow,dead ,High,utility,6,2,18,notProne,100,1,45,23800000
shallow,dead ,High,fill,6,2,18,notProne,100,2,42,23800000
shallow,dead ,High,concrete,6,2,18,notProne,100,3,38,23800000
shallow,dead ,High,pit,6,2,18,notProne,100,4,40,23800000
shallow,dead ,High,utility,6,2,18,notProne,100,5,32,23800000
shallow,dead ,High,fill,6,2,18,notProne,100,6,30,23800000
shallow,dead ,High,concrete,6,2,18,notProne,200,1,33,47200000
shallow,dead ,High,pit,6,2,18,notProne,200,2,34,47200000
shallow,dead ,High,utility,6,2,18,notProne,200,3,30,47200000
shallow,dead ,High,fill,6,2,18,notProne,200,4,35,47200000
shallow,dead ,High,concrete,6,2,18,notProne,200,5,32,47200000
shallow,dead ,High,pit,6,2,18,notProne,200,6,28,47200000
shallow,dead ,High,utility,6,2,18,notProne,300,1,40,70600000
shallow,dead ,High,fill,6,2,18,notProne,300,2,37,70600000
shallow,dead ,High,concrete,6,2,18,notProne,300,3,36,70600000
shallow,dead ,High,pit,6,2,18,notProne,300,4,35,70600000
shallow,dead ,High,utility,6,2,18,notProne,300,5,37,70600000
shallow,dead ,High,fill,6,2,18,notProne,300,6,25,70600000
shallow,dead ,High,concrete,6,2,18,notProne,500,1,28,116400000
shallow,dead ,High,pit,6,2,18,notProne,500,2,29,116400000
shallow,dead ,High,utility,6,2,18,notProne,500,3,25,116400000
shallow,dead ,High,fill,6,2,18,notProne,500,4,30,116400000
shallow,dead ,High,concrete,6,2,18,notProne,500,5,27,116400000
shallow,dead ,High,pit,6,2,18,notProne,500,6,24,116400000
shallow,dead ,High,utility,6,4,2,prone,100,1,10,3000000
shallow,dead ,High,fill,6,4,2,prone,100,2,15,3000000
shallow,dead ,High,concrete,6,4,2,prone,100,3,18,3000000
shallow,dead ,High,pit,6,4,2,prone,100,4,20,3000000
shallow,dead ,High,utility,6,4,2,prone,100,5,9,3000000
shallow,dead ,High,fill,6,4,2,prone,100,6,20,3000000
shallow,dead ,High,concrete,6,4,2,prone,200,1,16,5600000
shallow,dead ,High,pit,6,4,2,prone,200,2,18,5600000
shallow,dead ,High,utility,6,4,2,prone,200,3,19,5600000
shallow,dead ,High,fill,6,4,2,prone,200,4,10,5600000
shallow,dead ,High,concrete,6,4,2,prone,200,5,17,5600000
shallow,dead ,High,pit,6,4,2,prone,200,6,15,5600000
shallow,dead ,High,utility,6,4,2,prone,300,1,20,8200000
shallow,dead ,High,fill,6,4,2,prone,300,2,10,8200000
shallow,dead ,High,concrete,6,4,2,prone,300,3,12,8200000
shallow,dead ,High,pit,6,4,2,prone,300,4,6,8200000
shallow,dead ,High,utility,6,4,2,prone,300,5,13,8200000
shallow,dead ,High,fill,6,4,2,prone,300,6,11,8200000
shallow,dead ,High,concrete,6,4,2,prone,500,1,17,13400000
shallow,dead ,High,pit,6,4,2,prone,500,2,19,13400000
shallow,dead ,High,utility,6,4,2,prone,500,3,6,13400000
shallow,dead ,High,fill,6,4,2,prone,500,4,10,13400000
shallow,dead ,High,concrete,6,4,2,prone,500,5,17,13400000
shallow,dead ,High,pit,6,4,2,prone,500,6,16,13400000
shallow,dead ,High,utility,6,4,2,notProne,100,1,65,3000000
shallow,dead ,High,fill,6,4,2,notProne,100,2,62,3000000
shallow,dead ,High,concrete,6,4,2,notProne,100,3,58,3000000
shallow,dead ,High,pit,6,4,2,notProne,100,4,60,3000000
shallow,dead ,High,utility,6,4,2,notProne,100,5,52,3000000
shallow,dead ,High,fill,6,4,2,notProne,100,6,50,3000000
shallow,dead ,High,concrete,6,4,2,notProne,200,1,53,5600000
shallow,dead ,High,pit,6,4,2,notProne,200,2,54,5600000
shallow,dead ,High,utility,6,4,2,notProne,200,3,50,5600000
shallow,dead ,High,fill,6,4,2,notProne,200,4,55,5600000
shallow,dead ,High,concrete,6,4,2,notProne,200,5,52,5600000
shallow,dead ,High,pit,6,4,2,notProne,200,6,48,5600000
shallow,dead ,High,utility,6,4,2,notProne,300,1,60,8200000
shallow,dead ,High,fill,6,4,2,notProne,300,2,57,8200000
shallow,dead ,High,concrete,6,4,2,notProne,300,3,53,8200000
shallow,dead ,High,pit,6,4,2,notProne,300,4,55,8200000
shallow,dead ,High,utility,6,4,2,notProne,300,5,47,8200000
shallow,dead ,High,fill,6,4,2,notProne,300,6,45,8200000
shallow,dead ,High,concrete,6,4,2,notProne,500,1,48,13400000
shallow,dead ,High,pit,6,4,2,notProne,500,2,49,13400000
shallow,dead ,High,utility,6,4,2,notProne,500,3,45,13400000
shallow,dead ,High,fill,6,4,2,notProne,500,4,50,13400000
shallow,dead ,High,concrete,6,4,2,notProne,500,5,47,13400000
shallow,dead ,High,pit,6,4,2,notProne,500,6,43,13400000
shallow,dead ,High,utility,6,4,6,prone,200,1,14,16000000
shallow,dead ,High,fill,6,4,6,prone,200,2,19,16000000
shallow,dead ,High,concrete,6,4,6,prone,200,3,22,16000000
shallow,dead ,High,pit,6,4,6,prone,200,4,24,16000000
shallow,dead ,High,utility,6,4,6,prone,200,5,13,16000000
shallow,dead ,High,fill,6,4,6,prone,200,6,9,16000000
shallow,dead ,High,concrete,6,4,6,prone,300,1,20,23800000
shallow,dead ,High,pit,6,4,6,prone,300,2,7,23800000
shallow,dead ,High,utility,6,4,6,prone,300,3,8,23800000
shallow,dead ,High,fill,6,4,6,prone,300,4,14,23800000
shallow,dead ,High,concrete,6,4,6,prone,300,5,6,23800000
shallow,dead ,High,pit,6,4,6,prone,300,6,19,23800000
shallow,dead ,High,utility,6,4,6,prone,500,1,9,39400000
shallow,dead ,High,fill,6,4,6,prone,500,2,14,39400000
shallow,dead ,High,concrete,6,4,6,prone,500,3,16,39400000
shallow,dead ,High,pit,6,4,6,prone,500,4,10,39400000
shallow,dead ,High,utility,6,4,6,prone,500,5,17,39400000
shallow,dead ,High,fill,6,4,6,prone,500,6,15,39400000
shallow,dead ,High,concrete,6,4,6,notProne,100,1,55,8200000
shallow,dead ,High,pit,6,4,6,notProne,100,2,52,8200000
shallow,dead ,High,utility,6,4,6,notProne,100,3,48,8200000
shallow,dead ,High,fill,6,4,6,notProne,100,4,50,8200000
shallow,dead ,High,concrete,6,4,6,notProne,100,5,42,8200000
shallow,dead ,High,pit,6,4,6,notProne,100,6,40,8200000
shallow,dead ,High,utility,6,4,6,notProne,200,1,43,16000000
shallow,dead ,High,fill,6,4,6,notProne,200,2,44,16000000
shallow,dead ,High,concrete,6,4,6,notProne,200,3,40,16000000
shallow,dead ,High,pit,6,4,6,notProne,200,4,45,16000000
shallow,dead ,High,utility,6,4,6,notProne,200,5,42,16000000
shallow,dead ,High,fill,6,4,6,notProne,200,6,38,16000000
shallow,dead ,High,concrete,6,4,6,notProne,300,1,50,23800000
shallow,dead ,High,pit,6,4,6,notProne,300,2,47,23800000
shallow,dead ,High,utility,6,4,6,notProne,300,3,43,23800000
shallow,dead ,High,fill,6,4,6,notProne,300,4,45,23800000
shallow,dead ,High,concrete,6,4,6,notProne,300,5,37,23800000
shallow,dead ,High,pit,6,4,6,notProne,300,6,35,23800000
shallow,dead ,High,utility,6,4,6,notProne,500,1,38,39400000
shallow,dead ,High,fill,6,4,6,notProne,500,2,39,39400000
shallow,dead ,High,concrete,6,4,6,notProne,500,3,35,39400000
shallow,dead ,High,pit,6,4,6,notProne,500,4,40,39400000
shallow,dead ,High,utility,6,4,6,notProne,500,5,37,39400000
shallow,dead ,High,fill,6,4,6,notProne,500,6,33,39400000
shallow,dead ,High,concrete,6,4,10,prone,100,1,9,13400000
shallow,dead ,High,pit,6,4,10,prone,100,2,14,13400000
